mode,cpu,bw,rep,t_dl,t_cpu,t_total,t_off,sum,ok
host,none,unlim,1,3.7199,7.4872,11.2071,,179986461084,1
offload,none,unlim,1,,,,17.6427,179986461084,1
host,none,unlim,2,3.7349,7.4592,11.1941,,179986461084,1
offload,none,unlim,2,,,,17.6307,179986461084,1
host,none,unlim,3,3.8034,7.4125,11.2159,,179986461084,1
offload,none,unlim,3,,,,17.6499,179986461084,1
host,2c,unlim,1,3.7642,7.4567,11.2209,,179986461084,1
offload,2c,unlim,1,,,,17.4964,179986461084,1
host,2c,unlim,2,3.7063,7.4027,11.1090,,179986461084,1
offload,2c,unlim,2,,,,17.4528,179986461084,1
host,2c,unlim,3,3.7592,7.4186,11.1778,,179986461084,1
offload,2c,unlim,3,,,,17.2989,179986461084,1
host,1c,unlim,1,3.6128,7.4954,11.1082,,179986461084,1
offload,1c,unlim,1,,,,17.4272,179986461084,1
host,1c,unlim,2,3.6656,7.4739,11.1395,,179986461084,1
offload,1c,unlim,2,,,,17.5431,179986461084,1
host,1c,unlim,3,3.1988,7.5464,10.7452,,179986461084,1
offload,1c,unlim,3,,,,17.6184,179986461084,1
host,1c_burn,unlim,1,5.8364,17.8084,23.6448,,179986461084,1
offload,1c_burn,unlim,1,,,,17.5337,179986461084,1
host,1c_burn,unlim,2,5.6809,17.8283,23.5092,,179986461084,1
offload,1c_burn,unlim,2,,,,17.6806,179986461084,1
host,1c_burn,unlim,3,5.9436,17.8287,23.7723,,179986461084,1
offload,1c_burn,unlim,3,,,,17.2929,179986461084,1
host,none,50M,1,28.5385,7.5118,36.0503,,179986461084,1
offload,none,50M,1,,,,17.3768,179986461084,1
host,none,50M,2,28.4911,7.6048,36.0959,,179986461084,1
offload,none,50M,2,,,,17.4762,179986461084,1
host,none,50M,3,28.6616,7.4687,36.1303,,179986461084,1
offload,none,50M,3,,,,17.5097,179986461084,1
host,2c,50M,1,28.4460,7.4148,35.8608,,179986461084,1
offload,2c,50M,1,,,,17.3257,179986461084,1
host,2c,50M,2,28.5349,7.4109,35.9458,,179986461084,1
offload,2c,50M,2,,,,17.5614,179986461084,1
host,2c,50M,3,28.4786,7.4977,35.9763,,179986461084,1
offload,2c,50M,3,,,,17.4248,179986461084,1
host,1c,50M,1,28.4671,7.4238,35.8909,,179986461084,1
offload,1c,50M,1,,,,17.2855,179986461084,1
host,1c,50M,2,28.4617,7.4698,35.9315,,179986461084,1
offload,1c,50M,2,,,,17.3011,179986461084,1
host,1c,50M,3,28.4728,7.4723,35.9451,,179986461084,1
offload,1c,50M,3,,,,17.4089,179986461084,1
host,1c_burn,50M,1,28.3525,17.9325,46.2850,,179986461084,1
offload,1c_burn,50M,1,,,,17.5395,179986461084,1
host,1c_burn,50M,2,28.2886,18.0159,46.3045,,179986461084,1
offload,1c_burn,50M,2,,,,17.3688,179986461084,1
host,1c_burn,50M,3,28.2959,17.8607,46.1566,,179986461084,1
offload,1c_burn,50M,3,,,,17.2480,179986461084,1
host,none,20M,1,70.4700,7.5343,78.0043,,179986461084,1
offload,none,20M,1,,,,17.2944,179986461084,1
host,none,20M,2,70.5545,7.4770,78.0315,,179986461084,1
offload,none,20M,2,,,,17.5422,179986461084,1
host,none,20M,3,70.6292,7.5389,78.1681,,179986461084,1
offload,none,20M,3,,,,17.5677,179986461084,1
host,2c,20M,1,70.7544,7.4186,78.1730,,179986461084,1
offload,2c,20M,1,,,,17.4061,179986461084,1
host,2c,20M,2,70.5458,7.4975,78.0433,,179986461084,1
offload,2c,20M,2,,,,17.3041,179986461084,1
host,2c,20M,3,70.5742,7.4337,78.0079,,179986461084,1
offload,2c,20M,3,,,,17.4741,179986461084,1
host,1c,20M,1,70.4584,7.4820,77.9404,,179986461084,1
offload,1c,20M,1,,,,17.1938,179986461084,1
host,1c,20M,2,70.5075,7.3916,77.8991,,179986461084,1
offload,1c,20M,2,,,,17.4029,179986461084,1
host,1c,20M,3,70.4644,7.4670,77.9314,,179986461084,1
offload,1c,20M,3,,,,17.4581,179986461084,1
host,1c_burn,20M,1,70.4796,17.8283,88.3079,,179986461084,1
offload,1c_burn,20M,1,,,,17.4609,179986461084,1
host,1c_burn,20M,2,70.5492,17.7654,88.3146,,179986461084,1
offload,1c_burn,20M,2,,,,17.5190,179986461084,1
host,1c_burn,20M,3,70.5399,17.9171,88.4570,,179986461084,1
offload,1c_burn,20M,3,,,,17.4245,179986461084,1
host,none,10M,1,140.8008,7.4894,148.2902,,179986461084,1
offload,none,10M,1,,,,17.5132,179986461084,1
host,none,10M,2,140.8384,7.4940,148.3324,,179986461084,1
offload,none,10M,2,,,,17.6825,179986461084,1
host,none,10M,3,140.7761,7.6370,148.4131,,179986461084,1
offload,none,10M,3,,,,17.5685,179986461084,1
host,2c,10M,1,140.8115,7.4059,148.2174,,179986461084,1
offload,2c,10M,1,,,,18.4584,179986461084,1
host,2c,10M,2,140.8081,7.4904,148.2985,,179986461084,1
offload,2c,10M,2,,,,17.4019,179986461084,1
host,2c,10M,3,140.8032,7.4224,148.2256,,179986461084,1
offload,2c,10M,3,,,,17.6453,179986461084,1
host,1c,10M,1,140.8175,7.4750,148.2925,,179986461084,1
offload,1c,10M,1,,,,17.6715,179986461084,1
host,1c,10M,2,140.7931,7.4269,148.2200,,179986461084,1
offload,1c,10M,2,,,,17.4973,179986461084,1
host,1c,10M,3,140.7737,7.4308,148.2045,,179986461084,1
offload,1c,10M,3,,,,17.5556,179986461084,1
host,1c_burn,10M,1,140.8797,17.6637,158.5434,,179986461084,1
offload,1c_burn,10M,1,,,,17.7044,179986461084,1
host,1c_burn,10M,2,140.8469,17.5363,158.3832,,179986461084,1
offload,1c_burn,10M,2,,,,17.4369,179986461084,1
host,1c_burn,10M,3,141.0090,17.7676,158.7766,,179986461084,1
offload,1c_burn,10M,3,,,,17.5648,179986461084,1
