mode,cpu,bw,rep,t_dl,t_cpu,t_total,t_off,sum,ok
host,none,unlim,1,3.5699,7.4652,11.0351,,179986461084,1
offload,none,unlim,1,,,,17.4381,179986461084,1
host,none,unlim,2,3.8318,7.5659,11.3977,,179986461084,1
offload,none,unlim,2,,,,17.5268,179986461084,1
host,none,unlim,3,3.5817,7.4897,11.0714,,179986461084,1
offload,none,unlim,3,,,,17.5014,179986461084,1
host,2c,unlim,1,3.6719,7.4128,11.0847,,179986461084,1
offload,2c,unlim,1,,,,17.3549,179986461084,1
host,2c,unlim,2,3.0915,7.6147,10.7062,,179986461084,1
offload,2c,unlim,2,,,,17.2188,179986461084,1
host,2c,unlim,3,3.6261,7.4379,11.0640,,179986461084,1
offload,2c,unlim,3,,,,17.5909,179986461084,1
host,1c,unlim,1,3.6470,7.4020,11.0490,,179986461084,1
offload,1c,unlim,1,,,,18.9146,179986461084,1
host,1c,unlim,2,3.6902,7.4765,11.1667,,179986461084,1
offload,1c,unlim,2,,,,17.4750,179986461084,1
host,1c,unlim,3,3.1840,7.4670,10.6510,,179986461084,1
offload,1c,unlim,3,,,,17.3575,179986461084,1
host,none,6M,1,31.1473,7.4171,38.5644,,179986461084,1
offload,none,6M,1,,,,17.3444,179986461084,1
host,none,6M,2,31.0615,7.4754,38.5369,,179986461084,1
offload,none,6M,2,,,,17.5312,179986461084,1
host,none,6M,3,30.9516,8.2128,39.1644,,179986461084,1
offload,none,6M,3,,,,17.4116,179986461084,1
host,2c,6M,1,30.9598,7.4780,38.4378,,179986461084,1
offload,2c,6M,1,,,,17.4738,179986461084,1
host,2c,6M,2,30.9649,7.4650,38.4299,,179986461084,1
offload,2c,6M,2,,,,17.6972,179986461084,1
host,2c,6M,3,31.0139,7.6265,38.6404,,179986461084,1
offload,2c,6M,3,,,,17.3486,179986461084,1
host,1c,6M,1,30.9689,7.4769,38.4458,,179986461084,1
offload,1c,6M,1,,,,17.3617,179986461084,1
host,1c,6M,2,31.0420,7.4727,38.5147,,179986461084,1
offload,1c,6M,2,,,,17.4906,179986461084,1
host,1c,6M,3,30.9765,7.5185,38.4950,,179986461084,1
offload,1c,6M,3,,,,17.1976,179986461084,1
host,none,3M,1,58.9171,7.4430,66.3601,,179986461084,1
offload,none,3M,1,,,,17.1578,179986461084,1
host,none,3M,2,58.9410,7.4554,66.3964,,179986461084,1
offload,none,3M,2,,,,17.2303,179986461084,1
host,none,3M,3,58.9419,7.4136,66.3555,,179986461084,1
offload,none,3M,3,,,,17.3627,179986461084,1
host,2c,3M,1,58.9812,7.5848,66.5660,,179986461084,1
offload,2c,3M,1,,,,17.6217,179986461084,1
host,2c,3M,2,58.9717,7.5882,66.5599,,179986461084,1
offload,2c,3M,2,,,,17.2987,179986461084,1
host,2c,3M,3,58.9565,7.5479,66.5044,,179986461084,1
offload,2c,3M,3,,,,17.3631,179986461084,1
host,1c,3M,1,58.9259,7.5838,66.5097,,179986461084,1
offload,1c,3M,1,,,,17.2383,179986461084,1
host,1c,3M,2,58.9953,7.4777,66.4730,,179986461084,1
offload,1c,3M,2,,,,17.2933,179986461084,1
host,1c,3M,3,58.9230,7.4905,66.4135,,179986461084,1
offload,1c,3M,3,,,,17.2511,179986461084,1
host,none,1M,1,170.8553,7.6075,178.4628,,179986461084,1
offload,none,1M,1,,,,17.5040,179986461084,1
host,none,1M,2,170.8819,7.4810,178.3629,,179986461084,1
offload,none,1M,2,,,,17.7758,179986461084,1
host,none,1M,3,170.8793,7.4745,178.3538,,179986461084,1
offload,none,1M,3,,,,17.6527,179986461084,1
host,2c,1M,1,170.8468,7.4583,178.3051,,179986461084,1
offload,2c,1M,1,,,,17.4195,179986461084,1
host,2c,1M,2,170.8295,7.4888,178.3183,,179986461084,1
offload,2c,1M,2,,,,17.5715,179986461084,1
host,2c,1M,3,170.8682,7.3892,178.2574,,179986461084,1
offload,2c,1M,3,,,,17.6364,179986461084,1
host,1c,1M,1,170.8654,7.4706,178.3360,,179986461084,1
offload,1c,1M,1,,,,17.7750,179986461084,1
host,1c,1M,2,170.8130,7.4659,178.2789,,179986461084,1
offload,1c,1M,2,,,,17.4861,179986461084,1
host,1c,1M,3,170.8779,7.4049,178.2828,,179986461084,1
offload,1c,1M,3,,,,17.7073,179986461084,1
