row,col,rep,offload_s,ok
unlim,unlim,1,17.5735,1
unlim,unlim,2,17.7174,1
unlim,unlim,3,17.8702,1
2c,unlim,1,17.5994,1
2c,unlim,2,17.6974,1
2c,unlim,3,17.5485,1
1c,unlim,1,18.1932,1
1c,unlim,2,17.9449,1
1c,unlim,3,18.2544,1
1c_burn,unlim,1,34.4924,0
1c_burn,unlim,2,7.7656,0
unlim,50M,1,17.4841,1
unlim,50M,2,17.7482,1
unlim,50M,3,17.8859,1
2c,50M,1,17.7179,1
2c,50M,2,17.5441,1
2c,50M,3,17.5056,1
1c,50M,1,17.9285,1
1c,50M,2,17.7715,1
1c,50M,3,17.8488,1
1c_burn,50M,1,32.5463,0
1c_burn,50M,2,5.9333,0
unlim,20M,1,17.8572,1
unlim,20M,2,17.8663,1
unlim,20M,3,17.8689,1
2c,20M,1,17.6793,1
2c,20M,2,17.6843,1
2c,20M,3,17.2798,1
1c,20M,1,17.9782,1
1c,20M,2,17.9737,1
1c,20M,3,17.5946,1
1c_burn,20M,1,33.8490,0
1c_burn,20M,2,6.6875,0
unlim,10M,1,17.7685,1
unlim,10M,2,17.8717,1
unlim,10M,3,17.6986,1
2c,10M,1,17.5606,1
2c,10M,2,17.6111,1
2c,10M,3,17.3792,1
1c,10M,1,17.9839,1
1c,10M,2,17.7653,1
1c,10M,3,17.8233,1
1c_burn,10M,1,35.5776,0
1c_burn,10M,2,7.4633,0
