mode,contention,rep,time_s,ok,result
csd,0,1,15.6443,1,TEST PASSED: device sum = 3622001069080226666
offload,0,1,17.6246,1,179986461084
awk,0,1,14.2076,1,179986461084
csd,0,2,15.6787,1,TEST PASSED: device sum = 3622001069080226666
offload,0,2,17.7985,1,179986461084
awk,0,2,14.3590,1,179986461084
csd,0,3,15.7324,1,TEST PASSED: device sum = 3622001069080226666
offload,0,3,17.5796,1,179986461084
awk,0,3,14.1822,1,179986461084
csd,8,1,15.7807,1,TEST PASSED: device sum = 3622001069080226666
offload,8,1,17.7727,1,179986461084
awk,8,1,14.1882,1,179986461084
csd,8,2,15.7391,1,TEST PASSED: device sum = 3622001069080226666
offload,8,2,17.4177,1,179986461084
awk,8,2,14.1802,1,179986461084
csd,8,3,15.7084,1,TEST PASSED: device sum = 3622001069080226666
offload,8,3,17.5423,1,179986461084
awk,8,3,14.1764,1,179986461084
csd,16,1,17.2802,1,TEST PASSED: device sum = 3622001069080226666
offload,16,1,26.6256,1,179986461084
awk,16,1,14.2258,1,179986461084
csd,16,2,16.3217,1,TEST PASSED: device sum = 3622001069080226666
offload,16,2,18.3130,1,179986461084
awk,16,2,14.1991,1,179986461084
csd,16,3,16.3711,1,TEST PASSED: device sum = 3622001069080226666
offload,16,3,18.7331,1,179986461084
awk,16,3,15.1976,1,179986461084
csd,32,1,20.1517,1,TEST PASSED: device sum = 3622001069080226666
offload,32,1,31.2301,0,{"error":"compute operation \"sum\" fail
awk,32,1,26.6111,1,179986461084
csd,32,2,20.4822,1,TEST PASSED: device sum = 3622001069080226666
offload,32,2,31.3213,0,{"error":"compute operation \"sum\" fail
awk,32,2,26.3865,1,179986461084
csd,32,3,20.1390,1,TEST PASSED: device sum = 3622001069080226666
offload,32,3,31.0792,0,{"error":"compute operation \"sum\" fail
awk,32,3,26.5101,1,179986461084
