pct,N,rep,wall_s,ok,ok_count
100,1,1,18.1448,1,1
100,1,2,17.9202,1,1
100,1,3,18.1350,1,1
100,2,1,36.2281,0,0
100,2,2,7.0821,0,0
100,2,3,7.2194,0,0
100,4,1,42.2094,0,0
100,4,2,14.3729,0,0
100,4,3,13.7213,0,0
200,1,1,17.5871,1,1
200,1,2,17.5133,1,1
200,1,3,17.3268,1,1
200,2,1,17.6077,1,2
200,2,2,17.5645,1,2
200,2,3,17.6385,1,2
200,4,1,36.7949,0,0
200,4,2,7.0846,0,0
200,4,3,7.3814,0,0
3200,1,1,17.5987,1,1
3200,1,2,17.6345,1,1
3200,1,3,17.8914,1,1
3200,2,1,17.6035,1,2
3200,2,2,17.6758,1,2
3200,2,3,17.6994,1,2
3200,4,1,17.9333,1,4
3200,4,2,17.9418,1,4
3200,4,3,18.8654,1,4
